"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 27 14:25:09 MSK 2020","Wed May 27 14:25:11 MSK 2020","2665","tests","test_add_contact","","","","test_add_contact[None:Lnamewo:Fname:emailRCQlUP:'#/44]",""
"passed","Wed May 27 14:25:02 MSK 2020","Wed May 27 14:25:04 MSK 2020","2616","tests","test_add_contact","","","","test_add_contact[None:LnameAa:FnameriFRog:emailoXRjJHq:0860]",""
"passed","Wed May 27 14:25:19 MSK 2020","Wed May 27 14:25:41 MSK 2020","21819","tests","test_add_contact","","","","test_add_contact1",""
"passed","Wed May 27 14:24:59 MSK 2020","Wed May 27 14:25:01 MSK 2020","2211","tests","test_add_contact","","","","test_add_contact[None::::]",""
"failed","Wed May 27 14:26:22 MSK 2020","Wed May 27 14:26:32 MSK 2020","9586","tests","test_modify_group","","","","test_modify_first_group_header",""
"passed","Wed May 27 14:26:08 MSK 2020","Wed May 27 14:26:22 MSK 2020","14215","tests","test_modify_group","","","","test_modify_some_group_name",""
"passed","Wed May 27 14:25:42 MSK 2020","Wed May 27 14:25:43 MSK 2020","1289","tests","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"passed","Wed May 27 14:25:12 MSK 2020","Wed May 27 14:25:15 MSK 2020","2682","tests","test_add_contact","","","","test_add_contact[None:Lname:FnameAWctPgIE:emailAIkbrEtsJ:9?8]",""
"passed","Wed May 27 14:26:03 MSK 2020","Wed May 27 14:26:06 MSK 2020","2994","tests","test_modify_contact","","","","test_modify_some_contact",""
"passed","Wed May 27 14:25:05 MSK 2020","Wed May 27 14:25:08 MSK 2020","2572","tests","test_add_contact","","","","test_add_contact[None:LnameuMRwCPcr:FnameLvkYy:emailPNFQAjvlYRvlEb:]",""
"passed","Wed May 27 14:25:47 MSK 2020","Wed May 27 14:25:48 MSK 2020","1116","tests","test_add_group","","","","test_add_group[None:NameCAGrpJzN:Headercshut:Footer YOxCYc5P1uz7]",""
"passed","Wed May 27 14:26:01 MSK 2020","Wed May 27 14:26:03 MSK 2020","1843","tests","test_del_group","","","","test_delete_some_group",""
"failed","Wed May 27 14:22:33 MSK 2020","Wed May 27 14:22:33 MSK 2020","579","tests","test_accordance_all_contacts_db","","","","test_phones_on_contact_view_page",""
"passed","Wed May 27 14:22:39 MSK 2020","Wed May 27 14:24:58 MSK 2020","139282","tests","test_accordance_contact","","","","test_phones_on_contact_view_page",""
"passed","Wed May 27 14:25:44 MSK 2020","Wed May 27 14:25:45 MSK 2020","1149","tests","test_add_group","","","","test_add_group[None:Name 1:HeaderlQLUBNZdx:FooterxA0JG a2Y Q1]",""
"passed","Wed May 27 14:25:59 MSK 2020","Wed May 27 14:26:01 MSK 2020","2083","tests","test_del_contact","","","","test_delete_some_contact",""
"passed","Wed May 27 14:22:34 MSK 2020","Wed May 27 14:22:39 MSK 2020","5062","tests","test_accordance_contact","","","","test_last_name_on_home_page",""
"failed","Wed May 27 14:25:49 MSK 2020","Wed May 27 14:25:59 MSK 2020","9477","tests","test_db_matches_ui","","","","test_group_list",""
"passed","Wed May 27 14:25:46 MSK 2020","Wed May 27 14:25:47 MSK 2020","1118","tests","test_add_group","","","","test_add_group[None:NamexUNVZZVh:Header:FooterdQUQ qzS5U2PRnM]",""
"passed","Wed May 27 14:25:48 MSK 2020","Wed May 27 14:25:49 MSK 2020","1119","tests","test_add_group","","","","test_add_group[None:Name zK5S7:HeaderI0G6ax:Footere da4RX XmXYkOAK]",""
"passed","Wed May 27 14:25:16 MSK 2020","Wed May 27 14:25:18 MSK 2020","2580","tests","test_add_contact","","","","test_add_contact[None:LnameGurCTmQp:FnamePsurvfOIY:emailFEpVqhpGbAuEfdmY:7]",""
"passed","Wed May 27 14:25:43 MSK 2020","Wed May 27 14:25:44 MSK 2020","1145","tests","test_add_group","","","","test_add_group[None:NameJ:HeaderZnaKLa:FooterU W0jp9dAwhw66Xcr]",""
"passed","Wed May 27 14:26:06 MSK 2020","Wed May 27 14:26:08 MSK 2020","1504","tests","test_modify_group","","","","test_modify_some_group",""
